C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,11/28/2014,19:00:00,REGULAR,0000407595,0001533426                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,11/28/2014,23:00:00,REGULAR,0000407727,0001533599                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,11/22/2014,03:00:00,REGULAR,0004483921,0007031306                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,11/22/2014,07:00:00,REGULAR,0004483931,0007031345                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,11/22/2014,11:00:00,REGULAR,0004484028,0007031695                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,11/22/2014,15:00:00,REGULAR,0004484312,0007032171                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,11/22/2014,19:00:00,REGULAR,0004484684,0007032700                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,11/22/2014,23:00:00,REGULAR,0004484953,0007032998                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,11/23/2014,03:00:00,REGULAR,0004485067,0007033103                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,11/23/2014,07:00:00,REGULAR,0004485086,0007033136                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,11/23/2014,11:00:00,REGULAR,0004485160,0007033365                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,11/23/2014,15:00:00,REGULAR,0004485358,0007033768                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,11/23/2014,19:00:00,REGULAR,0004485666,0007034224                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,11/23/2014,23:00:00,REGULAR,0004485891,0007034474                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,11/24/2014,03:00:00,REGULAR,0004485944,0007034519                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,11/24/2014,07:00:00,REGULAR,0004485962,0007034638                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,11/24/2014,11:00:00,REGULAR,0004486149,0007035592                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,11/24/2014,15:00:00,REGULAR,0004486390,0007036009                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,11/24/2014,19:00:00,REGULAR,0004486991,0007036659                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,11/24/2014,23:00:00,REGULAR,0004487339,0007036935                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,11/25/2014,03:00:00,REGULAR,0004487424,0007036983                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,11/25/2014,07:00:00,REGULAR,0004487434,0007037092                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,11/25/2014,08:20:38,REGULAR,0004487487,0007037381                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,11/25/2014,11:00:00,REGULAR,0004487599,0007038055                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,11/25/2014,15:00:00,REGULAR,0004487855,0007038510                                     
